City List,Temperature,Latitude,Longitude,Humidity,Cloudiness,Wind
Taltal,52.2,-25.41,-70.49,85,17,4.65
Manta,57.56,45.1,24.1,67,19,1.72
Copiapo,53.6,-27.37,-70.33,81,90,10.29
Tomatlan,83.7,19.93,-105.25,67,32,9.51
Verkhovazhye,52.31,60.75,42.05,98,68,3.49
Vestmannaeyjar,51.73,63.44,-20.27,81,1,24.4
Ribeira Grande,68.0,38.52,-28.7,82,40,6.93
Coolum Beach,65.97,-26.53,153.09,66,0,2.37
Svetlogorsk,53.6,53.14,59.15,81,67,4.25
Vao,52.72,59.1,26.19,95,15,6.98
Kaoma,50.09,-14.8,24.8,26,0,5.32
Markova,61.68,52.21,104.21,93,0,4.47
Pandan,83.9,11.72,122.09,75,100,11.18
Grand Gaube,70.0,-20.01,57.66,81,35,3.0
Sri Aman,77.0,1.24,111.46,88,75,2.24
Yashkul,76.26,46.17,45.34,38,14,7.29
Howard Springs,78.91,-12.5,131.05,57,0,9.17
Humaita,48.2,-24.93,-65.37,81,0,5.82
Nouadhibou,68.0,20.93,-17.03,82,0,19.46
Belmonte,59.67,40.36,-7.35,70,30,2.24
Avera,86.38,33.19,-82.53,66,75,8.05
Rosarito,73.38,4.91,-75.23,50,75,6.93
ChengDe,71.8,40.97,117.93,61,100,2.17
Shagonar,62.62,51.54,92.92,72,0,1.45
Pontianak,79.07,-0.02,109.34,79,34,15.99
Mandi,76.05,31.71,76.93,72,11,1.7
Muros,62.53,42.77,-9.06,100,20,5.82
Tam Ky,95.0,15.57,108.48,50,20,1.12
Hambantota,78.8,6.12,81.12,100,20,6.93
Port Augusta,52.29,-32.49,137.76,71,0,6.93
Hofn,34.81,64.25,-15.21,94,96,1.12
Dakar,77.0,14.69,-17.45,83,75,13.87
Bantva,82.71,21.49,70.07,73,100,16.2
